azimuth_deg,horizon_angle_deg,horizon_distance_m,horizon_elevation_m
0.0,-1.3520872594264062,25.0,602.3599853515625
0.1,-1.3520872594264062,25.0,602.3599853515625
0.2,-1.3520872594264062,25.0,602.3599853515625
0.30000000000000004,-1.3520872594264062,25.0,602.3599853515625
0.4,-1.3520872594264062,25.0,602.3599853515625
0.5,-1.3520872594264062,25.0,602.3599853515625
0.6000000000000001,-1.3520872594264062,25.0,602.3599853515625
0.7000000000000001,-1.3520872594264062,25.0,602.3599853515625
0.8,-1.3520872594264062,25.0,602.3599853515625
0.9,-1.3520872594264062,25.0,602.3599853515625
1.0,-1.3520872594264062,25.0,602.3599853515625
1.1,-1.3520872594264062,25.0,602.3599853515625
1.2000000000000002,-1.3520872594264062,25.0,602.3599853515625
1.3,-1.3520872594264062,25.0,602.3599853515625
1.4000000000000001,-1.3520872594264062,25.0,602.3599853515625
1.5,-1.3494969567934507,5535.0,474.6199951171875
1.6,-1.3265874389140477,5570.0,476.04998779296875
1.7000000000000002,-1.295949622948019,5570.0,479.0299987792969
1.8,-1.2673418295698837,5550.0,482.239990234375
1.9000000000000001,-1.2345283043312485,5550.0,485.4200134277344
2.0,-1.2089744926592163,5540.0,488.1000061035156
2.1,-1.185282136132208,5505.0,491.0899963378906
2.2,-1.1681163200900755,5505.0,492.739990234375
2.3000000000000003,-1.1553940001147516,5500.0,494.05999755859375
2.4000000000000004,-1.1463345565496816,5500.0,494.92999267578125
2.5,-1.1344079515142134,5505.0,495.9800109863281
2.6,-1.1198845828218824,5500.0,497.4700012207031
2.7,-1.0962869832991011,5465.0,500.3800048828125
2.8000000000000003,-1.0651379793889841,5450.0,503.6199951171875
2.9000000000000004,-1.049020020213931,5465.0,504.8900146484375
3.0,-1.0233750451458525,5480.0,507.0799865722656
3.1,-1.0048745196539026,5480.0,508.8500061035156
3.2,-0.9927694254517382,5460.0,510.3399963378906
3.3000000000000003,-0.9776804039002689,5455.0,511.8599853515625
3.4000000000000004,-0.9579371224431166,5435.0,514.0599975585938
3.5,-0.9281885710410438,5430.0,516.9600219726562
3.6,-0.8898954583839235,5430.0,520.5900268554688
3.7,-0.8463296421902364,5425.0,524.7899780273438
3.8000000000000003,-0.8282732147834401,5425.0,526.5
3.9000000000000004,-0.7988129869302323,5425.0,529.2899780273438
4.0,-0.770762713758711,5420.0,532.010009765625
4.1000000000000005,-0.750701200865089,5415.0,533.969970703125
4.2,-0.736947783047962,5415.0,535.27001953125
4.3,-0.7154849684950287,5420.0,537.239990234375
4.4,-0.6878984897943102,5420.0,539.8499755859375
4.5,-0.6640108519040677,5420.0,542.1099853515625
4.6000000000000005,-0.6443291102191552,5180.0,546.5
4.7,-0.6023927280668847,5170.0,550.3900146484375
4.800000000000001,-0.5697737367993906,5205.0,553.010009765625
4.9,-0.5416254776664536,5175.0,555.8300170898438
5.0,-0.501101642783546,5185.0,559.4099731445312
5.1000000000000005,-0.4607706397307107,5185.0,563.0599975585938
5.2,-0.4261158664978446,5180.0,566.22998046875
5.300000000000001,-0.3972679183917254,5215.0,568.6199951171875
5.4,-0.36644680391988366,5230.0,571.3400268554688
5.5,-0.3447855452067912,5190.0,573.530029296875
5.6000000000000005,-0.3169670156253398,5190.0,576.0499877929688
5.7,-0.29018159543042005,5180.0,578.52001953125
5.800000000000001,-0.26386769783069214,5190.0,580.8599853515625
5.9,-0.23849358081685068,5230.0,583.02001953125
6.0,-0.22213825278164784,5190.0,584.6400146484375
6.1000000000000005,-0.19743812766876007,5200.0,586.8499755859375
6.2,-0.17639279472467478,5200.0,588.760009765625
6.300000000000001,-0.15082640075077217,5195.0,591.0900268554688
6.4,-0.1248846124407593,5210.0,593.4199829101562
6.5,-0.10092412848227228,5190.0,595.6199951171875
6.6000000000000005,-0.07119748256348592,5195.0,598.3099975585938
6.7,-0.048918663497264606,5195.0,600.3300170898438
6.800000000000001,-0.03369246868245062,5190.0,601.7100219726562
6.9,-0.024183308830522693,5185.0,602.5700073242188
7.0,-0.00735521515799707,5180.0,604.0900268554688
7.1000000000000005,0.013109512957547925,5255.0,606.010009765625
7.2,0.0392006837384387,5260.0,608.4099731445312
7.300000000000001,0.05590150690872362,5270.0,609.9600219726562
7.4,0.07295506933061481,5205.0,611.4000244140625
7.5,0.09864345707893242,5220.0,613.77001953125
7.6000000000000005,0.1191494588868919,5235.0,615.6799926757812
7.7,0.1452340184464717,5200.0,617.9500122070312
7.800000000000001,0.17559598268812399,5140.0,620.47998046875
7.9,0.21463499953759935,5135.0,623.9600219726562
8.0,0.25728229205157294,5150.0,627.8599853515625
8.1,0.2980177457918758,5165.0,631.6099853515625
8.200000000000001,0.33511841585659785,5175.0,635.02001953125
8.3,0.36302088612454725,5165.0,637.469970703125
8.4,0.4013851051697611,5160.0,640.8900146484375
8.5,0.43504374947604374,5155.0,643.8800048828125
8.6,0.4613010160388515,5165.0,646.3300170898438
8.700000000000001,0.49369397793162006,5180.0,649.3900146484375
8.8,0.5315217811011966,5190.0,652.9099731445312
8.9,0.56876370505181,5200.0,656.3900146484375
9.0,0.6110298521617494,5210.0,660.3400268554688
9.1,0.6436978060327341,5225.0,663.489990234375
9.200000000000001,0.6767850024379923,5210.0,666.3200073242188
9.3,0.7164564338624836,5220.0,670.0599975585938
9.4,0.7498299688487486,5225.0,673.1699829101562
9.5,0.777488590953978,5215.0,675.5499877929688
9.600000000000001,0.7975565622720736,5220.0,677.4500122070312
9.700000000000001,0.8091695757439546,5210.0,678.3599853515625
9.8,0.8310403185435058,5285.0,681.489990234375
9.9,0.8539562439021198,5270.0,683.3699951171875
10.0,0.8804906377942137,5255.0,685.5700073242188
10.100000000000001,0.9030032090085951,5265.0,687.7999877929688
10.200000000000001,0.9291223236975596,5275.0,690.3699951171875
10.3,0.9461045192473204,5280.0,692.02001953125
10.4,0.9608256571246026,5255.0,692.9400024414062
10.5,0.9620520495464316,5260.0,693.1400146484375
10.600000000000001,0.9643637405715223,5265.0,693.4400024414062
10.700000000000001,0.9747139179359,5270.0,694.47998046875
10.8,0.989279361934943,5275.0,695.9099731445312
10.9,1.00998241243722,5285.0,698.0
11.0,1.036166639938039,5290.0,700.510009765625
11.100000000000001,1.055748904900668,5300.0,702.510009765625
11.200000000000001,1.0676011704181712,5295.0,703.510009765625
11.3,1.0857001915154694,5275.0,704.7899780273438
11.4,1.1053534041546171,5260.0,706.2999877929688
11.5,1.1250617570735586,5260.0,708.1099853515625
11.600000000000001,1.136574118995882,5265.0,709.27001953125
11.700000000000001,1.151041451224019,5265.0,710.5999755859375
11.8,1.167408536960643,5270.0,712.2100219726562
11.9,1.181680824348065,5275.0,713.6300048828125
12.0,1.1981155673913753,5285.0,715.3599853515625
12.100000000000001,1.219463521243894,5290.0,717.4400024414062
12.200000000000001,1.2435829578159505,5295.0,719.780029296875
12.3,1.2659272022823491,5300.0,721.9600219726562
12.4,1.284496852990162,5310.0,723.9099731445312
12.5,1.3107258630868757,5315.0,726.4600219726562
12.600000000000001,1.3363662596903396,5320.0,728.9600219726562
12.700000000000001,1.3613127398678766,5325.0,731.4000244140625
12.8,1.3839555159485515,5330.0,733.6300048828125
12.9,1.4065553828492912,5335.0,735.8599853515625
13.0,1.42771908311371,5340.0,737.9600219726562
13.100000000000001,1.441235862428921,5345.0,739.3499755859375
13.200000000000001,1.4570082597197214,5330.0,740.4299926757812
13.3,1.4688255909705126,5330.0,741.530029296875
13.4,1.4806421415585265,5330.0,742.6300048828125
13.5,1.4902706149743283,5335.0,743.6599731445312
13.600000000000001,1.493383407980818,5335.0,743.9500122070312
13.700000000000001,1.4937698448559462,5340.0,744.1199951171875
13.8,1.4924832258067104,5340.0,744.0
13.9,1.4921201724571596,5345.0,744.0999755859375
14.0,1.4912896171636632,5355.0,744.2899780273438
14.100000000000001,1.4868351412805125,5350.0,743.739990234375
14.200000000000001,1.4778732702616075,5345.0,742.77001953125
14.3,1.4737190974116872,5340.0,742.25
14.4,1.477769030576452,5325.0,742.22998046875
14.5,1.484724336498608,5330.0,743.010009765625
14.600000000000001,1.5008194369682688,5310.0,743.969970703125
14.700000000000001,1.5186529782293472,5315.0,745.760009765625
14.8,1.5336267281664464,5315.0,747.1500244140625
14.9,1.5454924599841722,5320.0,748.3900146484375
15.0,1.5568772950981558,5300.0,748.8900146484375
15.100000000000001,1.569833471426827,5305.0,750.22998046875
15.200000000000001,1.5864311922879217,5310.0,751.9099731445312
15.3,1.601166397268255,5315.0,753.4199829101562
15.4,1.6152280039343145,5320.0,754.8699951171875
15.5,1.6300156271439539,5325.0,756.3900146484375
15.600000000000001,1.6456340468015913,5330.0,757.989990234375
15.700000000000001,1.665589671549274,5320.0,759.5499877929688
